date,pm25,date,pm10,date,o3,date,no2,date,so2,date,co,date,t,date,p,date,h
2017/11/24 04:00:00,99,2017/11/24 04:00:00,52,2017/11/22 02:00:00,4,2017/11/24 04:00:00,20,2017/11/24 04:00:00,4,2017/11/24 04:00:00,9,2017/11/24 03:00:00,6,2017/11/24 03:00:00,1028,2017/11/24 03:00:00,81
2017/11/24 04:00:00,99,2017/11/24 04:00:00,52,2017/11/22 02:00:00,4,2017/11/24 04:00:00,20,2017/11/24 04:00:00,4,2017/11/24 04:00:00,9,2017/11/24 03:00:00,6,2017/11/24 03:00:00,1028,2017/11/24 03:00:00,81
2017/11/24 09:00:00,91,2017/11/24 09:00:00,53,2017/11/22 02:00:00,4,2017/11/24 09:00:00,19,2017/11/24 09:00:00,6,2017/11/24 09:00:00,11,2017/11/24 09:00:00,8,2017/11/24 09:00:00,1030,2017/11/24 09:00:00,81
2017/11/24 10:00:00,95,2017/11/24 10:00:00,56,2017/11/22 02:00:00,4,2017/11/24 10:00:00,22,2017/11/24 10:00:00,8,2017/11/24 10:00:00,10,2017/11/24 10:00:00,10,2017/11/24 10:00:00,1030,2017/11/24 10:00:00,61
2017/11/24 11:00:00,107,2017/11/24 11:00:00,63,2017/11/22 02:00:00,4,2017/11/24 11:00:00,25,2017/11/24 11:00:00,9,2017/11/24 11:00:00,9,2017/11/24 11:00:00,12,2017/11/24 11:00:00,1030,2017/11/24 11:00:00,54
2017/11/24 12:00:00,107,2017/11/24 12:00:00,60,2017/11/22 02:00:00,4,2017/11/24 12:00:00,20,2017/11/24 12:00:00,8,2017/11/24 12:00:00,8,2017/11/24 12:00:00,14,2017/11/24 12:00:00,1029,2017/11/24 12:00:00,35
2017/11/24 13:00:00,99,2017/11/24 13:00:00,56,2017/11/22 02:00:00,4,2017/11/24 13:00:00,14,2017/11/24 13:00:00,8,2017/11/24 13:00:00,7,2017/11/24 12:00:00,15,2017/11/24 12:00:00,1029,2017/11/24 12:00:00,29
2017/11/24 13:00:00,99,2017/11/24 13:00:00,56,2017/11/22 02:00:00,4,2017/11/24 13:00:00,14,2017/11/24 13:00:00,8,2017/11/24 13:00:00,7,2017/11/24 12:00:00,15,2017/11/24 12:00:00,1029,2017/11/24 12:00:00,29
2017/11/24 15:00:00,104,2017/11/24 15:00:00,57,2017/11/22 02:00:00,4,2017/11/24 15:00:00,17,2017/11/24 15:00:00,8,2017/11/24 15:00:00,7,2017/11/24 15:00:00,15,2017/11/24 15:00:00,1027,2017/11/24 15:00:00,21
2017/11/24 16:00:00,102,2017/11/24 16:00:00,55,2017/11/22 02:00:00,4,2017/11/24 16:00:00,22,2017/11/24 16:00:00,7,2017/11/24 16:00:00,7,2017/11/24 16:00:00,15,2017/11/24 16:00:00,1027,2017/11/24 16:00:00,22
2017/11/24 17:00:00,97,2017/11/24 17:00:00,52,2017/11/22 02:00:00,4,2017/11/24 17:00:00,32,2017/11/24 17:00:00,6,2017/11/24 17:00:00,8,2017/11/24 17:00:00,14,2017/11/24 17:00:00,1027,2017/11/24 17:00:00,30
2017/11/24 18:00:00,93,2017/11/24 18:00:00,51,2017/11/22 02:00:00,4,2017/11/24 18:00:00,30,2017/11/24 18:00:00,5,2017/11/24 18:00:00,9,2017/11/24 17:00:00,13,2017/11/24 17:00:00,1027,2017/11/24 17:00:00,40
2017/11/24 19:00:00,91,2017/11/24 19:00:00,52,2017/11/22 02:00:00,4,2017/11/24 19:00:00,29,2017/11/24 19:00:00,5,2017/11/24 19:00:00,9,2017/11/24 18:00:00,12,2017/11/24 18:00:00,1028,2017/11/24 18:00:00,84
2017/11/24 20:00:00,91,2017/11/24 20:00:00,52,2017/11/22 02:00:00,4,2017/11/24 20:00:00,28,2017/11/24 20:00:00,5,2017/11/24 20:00:00,9,2017/11/24 20:00:00,11,2017/11/24 20:00:00,1028,2017/11/24 20:00:00,84
2017/11/24 21:00:00,91,2017/11/24 21:00:00,53,2017/11/24 10:00:00,7,2017/11/24 21:00:00,26,2017/11/24 21:00:00,5,2017/11/24 20:00:00,9,2017/11/24 21:00:00,9,2017/11/24 21:00:00,1028,2017/11/24 21:00:00,57
2017/11/24 21:00:00,91,2017/11/24 21:00:00,53,2017/11/24 10:00:00,7,2017/11/24 21:00:00,26,2017/11/24 21:00:00,5,2017/11/24 20:00:00,9,2017/11/24 21:00:00,9,2017/11/24 21:00:00,1028,2017/11/24 21:00:00,57
2017/11/24 23:00:00,93,2017/11/24 23:00:00,52,2017/11/24 10:00:00,7,2017/11/24 23:00:00,23,2017/11/24 23:00:00,4,2017/11/24 20:00:00,9,2017/11/24 23:00:00,9,2017/11/24 23:00:00,1028,2017/11/24 23:00:00,61
2017/11/25 00:00:00,93,2017/11/25 00:00:00,50,2017/11/24 10:00:00,7,2017/11/25 00:00:00,19,2017/11/25 00:00:00,4,2017/11/25 00:00:00,8,2017/11/24 23:00:00,9,2017/11/24 23:00:00,1028,2017/11/24 23:00:00,66
2017/11/25 01:00:00,91,2017/11/25 01:00:00,47,2017/11/24 10:00:00,7,2017/11/25 01:00:00,16,2017/11/25 01:00:00,4,2017/11/25 01:00:00,8,2017/11/25 00:00:00,9,2017/11/25 00:00:00,1028,2017/11/25 00:00:00,76
2017/11/25 02:00:00,89,2017/11/25 02:00:00,44,2017/11/24 10:00:00,7,2017/11/25 02:00:00,13,2017/11/25 02:00:00,4,2017/11/25 02:00:00,7,2017/11/25 02:00:00,10,2017/11/25 02:00:00,1027,2017/11/25 02:00:00,61
2017/11/25 03:00:00,87,2017/11/25 03:00:00,42,2017/11/24 10:00:00,7,2017/11/25 03:00:00,13,2017/11/25 03:00:00,4,2017/11/25 03:00:00,7,2017/11/25 03:00:00,9,2017/11/25 03:00:00,1027,2017/11/25 03:00:00,66
2017/11/25 04:00:00,82,2017/11/25 04:00:00,40,2017/11/24 10:00:00,7,2017/11/25 04:00:00,14,2017/11/25 04:00:00,4,2017/11/25 04:00:00,7,2017/11/25 04:00:00,9,2017/11/25 04:00:00,1027,2017/11/25 04:00:00,70
2017/11/25 05:00:00,85,2017/11/25 05:00:00,40,2017/11/24 10:00:00,7,2017/11/25 05:00:00,17,2017/11/25 04:00:00,4,2017/11/25 04:00:00,7,2017/11/25 04:00:00,9,2017/11/25 04:00:00,1027,2017/11/25 04:00:00,68
2017/11/25 06:00:00,87,2017/11/25 06:00:00,41,2017/11/24 10:00:00,7,2017/11/25 06:00:00,17,2017/11/25 04:00:00,4,2017/11/25 04:00:00,7,2017/11/25 05:00:00,9,2017/11/25 05:00:00,1027,2017/11/25 05:00:00,76
2017/11/25 07:00:00,89,2017/11/25 07:00:00,44,2017/11/24 10:00:00,7,2017/11/25 07:00:00,17,2017/11/25 04:00:00,4,2017/11/25 07:00:00,8,2017/11/25 06:00:00,10,2017/11/25 06:00:00,1026,2017/11/25 06:00:00,61
